date_time,temp,B1F,Heat1F,Heat2F,Heat3F,Heat4F,Heat5F,Heat6F,Heat7F,Heat8F,Heatsum
2022/6/28 14:00,33.4,0,0.394,0.228,0.339,0.387,0.403,0.158,0.306,0.238,2.441
2022/6/28 15:00,33.3,0,0.385,0.232,0.358,0.316,0.404,0.168,0.316,0.244,2.427
2022/6/28 16:00,32.9,0,0.369,0.239,0.403,0.256,0.394,0.176,0.307,0.209,2.368
2022/6/28 17:00,32.7,0,0.178,0.271,0.282,0.199,0.435,0.177,0.325,0.218,2.164
2022/6/28 18:00,31.7,0,0.073,0.258,0.268,0.137,0.222,0.192,0.313,0.204,1.73
2022/6/28 19:00,30.5,0,0.037,0.236,0.23,0.091,0.102,0.152,0.234,0.146,1.315
2022/6/28 20:00,29.8,0,0.019,0.075,0.083,0.025,0.031,0.071,0.073,0.062,0.447
2022/6/28 21:00,29.4,0,0,0,0,0,0,0,0,0,0
2022/6/28 22:00,29.2,0,0,0,0,0,0,0,0,0,0
2022/6/28 23:00,29.2,0,0,0,0,0,0,0,0,0,0
2022/6/29 0:00,29.2,0,0,0,0,0,0,0,0,0,0
2022/6/29 1:00,28.6,0,0,0,0,0,0,0,0,0,0
2022/6/29 2:00,28.7,0,0,0,0,0,0,0,0,0,0
2022/6/29 3:00,28.6,0,0,0,0,0,0,0,0,0,0
2022/6/29 4:00,28.3,0,0,0,0,0,0,0,0,0,0
2022/6/29 5:00,27.8,0,0,0,0,0,0,0,0,0,0
2022/6/29 6:00,27.9,0,0,0,0,0,0,0,0,0,0
2022/6/29 7:00,28.5,0,0.02,0,0.007,0.014,0.014,0.031,0.047,0.011,0.156
2022/6/29 8:00,29.1,0,0.476,0,0.382,0.103,0.123,0.204,0.329,0.092,1.744
2022/6/29 9:00,30.4,0,0.399,0.174,0.365,0.065,0.281,0.14,0.238,0.155,1.822
2022/6/29 10:00,31.6,0,0.378,0.237,0.423,0.142,0.343,0.135,0.282,0.38,2.35
2022/6/29 11:00,32.4,0,0.383,0.23,0.395,0.224,0.37,0.15,0.297,0.319,2.361
2022/6/29 12:00,33.1,0,0.384,0.222,0.344,0.269,0.401,0.148,0.31,0.308,2.397
2022/6/29 13:00,33.4,0,0.403,0.221,0.306,0.351,0.415,0.153,0.305,0.261,2.424
2022/6/29 14:00,34.1,0,0.389,0.227,0.372,0.312,0.402,0.155,0.288,0.272,2.423
2022/6/29 15:00,33.9,0,0.383,0.231,0.37,0.283,0.411,0.167,0.29,0.231,2.376
2022/6/29 16:00,33.4,0,0.389,0.23,0.309,0.222,0.392,0.172,0.293,0.224,2.259
2022/6/29 17:00,33.5,0,0.144,0.258,0.314,0.253,0.392,0.167,0.315,0.199,2.094
2022/6/29 18:00,32.6,0,0.07,0.248,0.304,0.134,0.16,0.169,0.305,0.161,1.601
2022/6/29 19:00,31.8,0,0.052,0.199,0.276,0.091,0.094,0.159,0.273,0.144,1.335
2022/6/29 20:00,30.9,0,0.012,0.067,0.098,0.017,0.039,0.069,0.096,0.053,0.442
2022/6/29 21:00,30.3,0,0,0,0,0,0,0,0,0,0
2022/6/29 22:00,29.7,0,0,0,0,0,0,0,0,0,0
2022/6/29 23:00,29.7,0,0,0,0,0,0,0,0,0,0
2022/6/30 0:00,28.8,0,0,0,0,0,0,0,0,0,0
2022/6/30 1:00,28.7,0,0,0,0,0,0,0,0,0,0
2022/6/30 2:00,28.5,0,0,0,0,0,0,0,0,0,0
2022/6/30 3:00,28.2,0,0,0,0,0,0,0,0,0,0
2022/6/30 4:00,27.5,0,0,0,0,0,0,0,0,0,0
2022/6/30 5:00,27.9,0,0,0,0,0,0,0,0,0,0
2022/6/30 6:00,27.2,0,0,0,0,0,0,0,0,0,0
2022/6/30 7:00,28.2,0,0.074,0.003,0.075,0.02,0.03,0.061,0.106,0.041,0.433
2022/6/30 8:00,29.1,0,0.361,0.008,0.364,0.06,0.072,0.156,0.295,0.106,1.437
2022/6/30 9:00,30.4,0,0.277,0.181,0.347,0.069,0.188,0.144,0.197,0.157,1.581
2022/6/30 10:00,32.4,0,0.389,0.233,0.405,0.135,0.285,0.153,0.226,0.289,2.141
2022/6/30 11:00,33.1,0,0.402,0.227,0.36,0.239,0.3,0.147,0.265,0.294,2.245
2022/6/30 12:00,33.7,0,0.381,0.232,0.39,0.244,0.334,0.146,0.274,0.28,2.278
2022/6/30 13:00,34.6,0,0.41,0.247,0.372,0.206,0.352,0.144,0.293,0.278,2.312
2022/6/30 14:00,33.9,0,0.392,0.255,0.387,0.243,0.357,0.144,0.268,0.291,2.347
2022/6/30 15:00,31.7,0,0.4,0.262,0.416,0.207,0.345,0.14,0.288,0.29,2.359
2022/6/30 16:00,31.2,0,0.388,0.269,0.426,0.254,0.345,0.14,0.321,0.211,2.364
2022/6/30 17:00,30.7,0,0.373,0.287,0.316,0.256,0.326,0.154,0.315,0.215,2.294
